<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.07.07	16:15:00	73.321	73.464	73.309	73.406	330	0	2
2025.07.07	16:30:00	73.409	73.476	73.397	73.464	188	0	2
2025.07.07	16:45:00	73.461	73.559	73.458	73.556	215	0	2
2025.07.07	17:00:00	73.552	73.586	73.500	73.503	159	0	2
2025.07.07	17:15:00	73.499	73.547	73.489	73.543	120	0	2
2025.07.07	17:30:00	73.539	73.551	73.464	73.502	298	0	2
2025.07.07	17:45:00	73.506	73.526	73.499	73.499	95	0	2
2025.07.07	18:00:00	73.502	73.515	73.459	73.513	102	0	2
2025.07.07	18:15:00	73.516	73.571	73.516	73.561	122	0	2
2025.07.07	18:30:00	73.558	73.578	73.485	73.495	98	0	2
2025.07.07	18:45:00	73.492	73.496	73.449	73.464	100	0	2
2025.07.07	19:00:00	73.467	73.487	73.439	73.448	82	0	2
2025.07.07	19:15:00	73.452	73.475	73.448	73.465	61	0	2
2025.07.07	19:30:00	73.463	73.478	73.448	73.469	63	0	2
2025.07.07	19:45:00	73.472	73.475	73.452	73.475	61	0	2
2025.07.07	20:00:00	73.476	73.519	73.473	73.515	44	0	2
2025.07.07	20:15:00	73.512	73.532	73.507	73.518	38	0	2
2025.07.07	20:30:00	73.522	73.536	73.517	73.532	30	0	2
2025.07.07	20:45:00	73.531	73.535	73.520	73.520	34	0	2
2025.07.07	21:00:00	73.521	73.522	73.468	73.490	14	0	8
2025.07.07	21:15:00	73.491	73.494	73.471	73.490	15	0	40
2025.07.07	21:30:00	73.493	73.493	73.482	73.489	14	0	33
2025.07.07	21:45:00	73.488	73.493	73.482	73.490	15	0	14
2025.07.07	22:00:00	73.499	73.499	73.472	73.474	24	0	2
2025.07.07	22:15:00	73.473	73.480	73.466	73.477	30	0	2
2025.07.07	22:30:00	73.475	73.475	73.438	73.441	51	0	2
2025.07.07	22:45:00	73.437	73.449	73.423	73.428	32	0	2
2025.07.07	23:00:00	73.434	73.445	73.427	73.433	30	0	2
2025.07.07	23:15:00	73.432	73.441	73.425	73.432	29	0	2
2025.07.07	23:30:00	73.431	73.431	73.411	73.411	34	0	2
2025.07.07	23:45:00	73.416	73.419	73.393	73.400	41	0	2
2025.07.08	00:00:00	73.396	73.396	73.330	73.333	89	0	2
2025.07.08	00:15:00	73.329	73.380	73.329	73.377	69	0	2
2025.07.08	00:30:00	73.374	73.390	73.351	73.364	71	0	2
2025.07.08	00:45:00	73.367	73.390	73.354	73.374	79	0	2
2025.07.08	01:00:00	73.370	73.431	73.362	73.416	96	0	2
2025.07.08	01:15:00	73.413	73.423	73.374	73.384	78	0	2
2025.07.08	01:30:00	73.387	73.394	73.349	73.389	63	0	2
2025.07.08	01:45:00	73.392	73.401	73.384	73.391	62	0	2
2025.07.08	02:00:00	73.390	73.401	73.345	73.347	73	0	2
2025.07.08	02:15:00	73.351	73.361	73.326	73.326	59	0	2
2025.07.08	02:30:00	73.323	73.354	73.317	73.350	56	0	2
2025.07.08	02:45:00	73.352	73.368	73.338	73.361	54	0	2
2025.07.08	03:00:00	73.358	73.366	73.345	73.366	54	0	2
2025.07.08	03:15:00	73.369	73.372	73.325	73.325	42	0	2
2025.07.08	03:30:00	73.328	73.344	73.319	73.341	48	0	2
2025.07.08	03:45:00	73.344	73.355	73.342	73.349	49	0	2
2025.07.08	04:00:00	73.352	73.362	73.329	73.343	50	0	2
2025.07.08	04:15:00	73.346	73.351	73.339	73.345	24	0	2
2025.07.08	04:30:00	73.341	73.363	73.299	73.351	217	0	2
2025.07.08	04:45:00	73.354	73.366	73.350	73.357	72	0	2
2025.07.08	05:00:00	73.360	73.379	73.341	73.372	76	0	2
2025.07.08	05:15:00	73.369	73.383	73.367	73.374	50	0	2
2025.07.08	05:30:00	73.371	73.399	73.371	73.388	61	0	2
2025.07.08	05:45:00	73.385	73.391	73.347	73.372	94	0	2
2025.07.08	06:00:00	73.375	73.392	73.362	73.381	121	0	2
2025.07.08	06:15:00	73.384	73.397	73.362	73.374	104	0	2
2025.07.08	06:30:00	73.370	73.384	73.357	73.384	84	0	2
2025.07.08	06:45:00	73.381	73.394	73.351	73.381	75	0	2
2025.07.08	07:00:00	73.378	73.378	73.288	73.308	161	0	2
2025.07.08	07:15:00	73.304	73.341	73.300	73.313	94	0	2
2025.07.08	07:30:00	73.309	73.329	73.278	73.288	107	0	2
2025.07.08	07:45:00	73.292	73.321	73.276	73.308	91	0	2
2025.07.08	08:00:00	73.311	73.356	73.307	73.347	96	0	2
2025.07.08	08:15:00	73.350	73.400	73.342	73.390	88	0	2
2025.07.08	08:30:00	73.387	73.462	73.387	73.462	100	0	2
2025.07.08	08:45:00	73.466	73.473	73.427	73.460	116	0	2
2025.07.08	09:00:00	73.463	73.487	73.450	73.474	96	0	2
2025.07.08	09:15:00	73.477	73.477	73.449	73.461	70	0	2
2025.07.08	09:30:00	73.464	73.497	73.460	73.497	82	0	2
2025.07.08	09:45:00	73.500	73.567	73.496	73.553	95	0	2
2025.07.08	10:00:00	73.550	73.589	73.550	73.586	105	0	2
2025.07.08	10:15:00	73.589	73.614	73.585	73.607	63	0	2
2025.07.08	10:30:00	73.610	73.642	73.597	73.636	84	0	2
2025.07.08	10:45:00	73.632	73.658	73.629	73.649	94	0	2
2025.07.08	11:00:00	73.652	73.655	73.616	73.632	80	0	2
2025.07.08	11:15:00	73.635	73.640	73.606	73.630	82	0	2
2025.07.08	11:30:00	73.629	73.663	73.621	73.654	71	0	2
2025.07.08	11:45:00	73.651	73.671	73.639	73.671	83	0	2
2025.07.08	12:00:00	73.668	73.692	73.641	73.652	130	0	2
2025.07.08	12:15:00	73.656	73.663	73.629	73.633	93	0	2
2025.07.08	12:30:00	73.636	73.672	73.612	73.669	117	0	2
2025.07.08	12:45:00	73.673	73.727	73.638	73.645	152	0	2
2025.07.08	13:00:00	73.649	73.738	73.639	73.738	143	0	2
2025.07.08	13:15:00	73.735	73.809	73.723	73.805	136	0	2
2025.07.08	13:30:00	73.809	73.851	73.769	73.776	247	0	2
2025.07.08	13:45:00	73.779	73.784	73.713	73.784	148	0	2
2025.07.08	14:00:00	73.787	73.912	73.787	73.908	229	0	2
2025.07.08	14:15:00	73.905	73.931	73.836	73.836	182	0	2
2025.07.08	14:30:00	73.833	73.846	73.761	73.764	264	0	2
2025.07.08	14:45:00	73.768	73.847	73.733	73.828	286	0	2
2025.07.08	15:00:00	73.825	73.852	73.766	73.766	212	0	2
2025.07.08	15:15:00	73.769	73.769	73.679	73.726	184	0	2
2025.07.08	15:30:00	73.729	73.735	73.663	73.680	154	0	2
2025.07.08	15:45:00	73.677	73.680	73.641	73.675	119	0	2
2025.07.08	16:00:00	73.679	73.712	73.666	73.666	114	0	2
2025.07.08	16:15:00	73.669	73.679	73.623	73.642	83	0	2
2025.07.08	16:30:00	73.639	73.723	73.637	73.691	244	0	2
2025.07.08	16:45:00	73.694	73.725	73.637	73.644	191	0	2
2025.07.08	17:00:00	73.640	73.651	73.582	73.610	194	0	2
2025.07.08	17:15:00	73.607	73.635	73.595	73.606	131	0	2
2025.07.08	17:30:00	73.603	73.615	73.578	73.582	102	0	2
2025.07.08	17:45:00	73.578	73.597	73.564	73.570	100	0	2
2025.07.08	18:00:00	73.567	73.578	73.544	73.563	88	0	2
2025.07.08	18:15:00	73.566	73.592	73.566	73.589	66	0	2
2025.07.08	18:30:00	73.592	73.607	73.555	73.576	76	0	2
2025.07.08	18:45:00	73.573	73.580	73.548	73.561	84	0	2
2025.07.08	19:00:00	73.558	73.573	73.543	73.572	65	0	2
2025.07.08	19:15:00	73.569	73.575	73.554	73.571	47	0	2
2025.07.08	19:30:00	73.574	73.609	73.566	73.603	47	0	2
2025.07.08	19:45:00	73.600	73.603	73.583	73.584	64	0	2
2025.07.08	20:00:00	73.587	73.591	73.551	73.561	47	0	2
2025.07.08	20:15:00	73.557	73.591	73.555	73.565	44	0	2
2025.07.08	20:30:00	73.568	73.594	73.567	73.579	37	0	2
2025.07.08	20:45:00	73.583	73.589	73.567	73.567	34	0	2
2025.07.08	21:00:00	73.566	73.566	73.555	73.558	13	0	8
2025.07.08	21:15:00	73.557	73.562	73.557	73.561	15	0	27
2025.07.08	21:30:00	73.562	73.572	73.560	73.571	14	0	14
2025.07.08	21:45:00	73.570	73.577	73.562	73.571	15	0	14
2025.07.08	22:00:00	73.569	73.581	73.566	73.576	21	0	2
2025.07.08	22:15:00	73.576	73.576	73.565	73.567	21	0	2
2025.07.08	22:30:00	73.564	73.564	73.557	73.563	24	0	2
2025.07.08	22:45:00	73.566	73.567	73.562	73.566	22	0	2
2025.07.08	23:00:00	73.562	73.572	73.562	73.567	26	0	2
2025.07.08	23:15:00	73.567	73.583	73.565	73.583	23	0	2
2025.07.08	23:30:00	73.586	73.606	73.583	73.600	30	0	2
2025.07.08	23:45:00	73.603	73.612	73.594	73.609	32	0	2
2025.07.09	00:00:00	73.605	73.656	73.594	73.632	77	0	2
2025.07.09	00:15:00	73.633	73.653	73.622	73.630	65	0	2
2025.07.09	00:30:00	73.627	73.656	73.610	73.613	74	0	2
2025.07.09	00:45:00	73.609	73.620	73.599	73.602	51	0	2
2025.07.09	01:00:00	73.605	73.654	73.587	73.635	79	0	2
2025.07.09	01:15:00	73.632	73.641	73.597	73.622	81	0	2
2025.07.09	01:30:00	73.625	73.636	73.576	73.613	114	0	2
2025.07.09	01:45:00	73.616	73.626	73.598	73.601	75	0	2
2025.07.09	02:00:00	73.598	73.615	73.565	73.583	112	0	2
2025.07.09	02:15:00	73.586	73.626	73.586	73.617	72	0	2
2025.07.09	02:30:00	73.620	73.701	73.620	73.690	77	0	2
2025.07.09	02:45:00	73.693	73.716	73.664	73.668	87	0	2
2025.07.09	03:00:00	73.671	73.715	73.668	73.700	82	0	2
2025.07.09	03:15:00	73.701	73.722	73.683	73.688	79	0	2
2025.07.09	03:30:00	73.691	73.706	73.685	73.685	48	0	2
2025.07.09	03:45:00	73.688	73.698	73.681	73.697	50	0	2
2025.07.09	04:00:00	73.694	73.710	73.675	73.678	67	0	2
2025.07.09	04:15:00	73.675	73.688	73.670	73.681	38	0	2
2025.07.09	04:30:00	73.677	73.681	73.623	73.632	83	0	2
2025.07.09	04:45:00	73.636	73.636	73.600	73.607	55	0	2
2025.07.09	05:00:00	73.604	73.613	73.590	73.598	57	0	2
2025.07.09	05:15:00	73.595	73.595	73.573	73.587	54	0	2
2025.07.09	05:30:00	73.584	73.596	73.547	73.560	66	0	2
2025.07.09	05:45:00	73.559	73.598	73.559	73.598	76	0	2
2025.07.09	06:00:00	73.595	73.627	73.588	73.604	80	0	2
2025.07.09	06:15:00	73.604	73.624	73.597	73.614	53	0	2
2025.07.09	06:30:00	73.618	73.627	73.569	73.589	73	0	2
2025.07.09	06:45:00	73.592	73.592	73.493	73.511	130	0	2
2025.07.09	07:00:00	73.514	73.555	73.500	73.539	150	0	2
2025.07.09	07:15:00	73.536	73.542	73.510	73.529	104	0	2
2025.07.09	07:30:00	73.533	73.572	73.518	73.554	100	0	2
2025.07.09	07:45:00	73.556	73.640	73.552	73.605	155	0	2
2025.07.09	08:00:00	73.608	73.623	73.560	73.582	169	0	2
2025.07.09	08:15:00	73.585	73.602	73.555	73.555	95	0	2
2025.07.09	08:30:00	73.558	73.558	73.506	73.510	76	0	2
