<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.01.09	10:00:00	1.34097	1.34122	1.34035	1.34083	2157	0	10
2026.01.09	11:00:00	1.34085	1.34139	1.34041	1.34125	2234	0	10
2026.01.09	12:00:00	1.34125	1.34190	1.34091	1.34187	2672	0	10
2026.01.09	13:00:00	1.34191	1.34507	1.33869	1.34349	8304	0	10
2026.01.09	14:00:00	1.34350	1.34431	1.34057	1.34126	7604	0	10
2026.01.09	15:00:00	1.34118	1.34187	1.33919	1.34174	6330	0	10
2026.01.09	16:00:00	1.34173	1.34224	1.34042	1.34102	3866	0	10
2026.01.09	17:00:00	1.34103	1.34111	1.33974	1.34024	2807	0	10
2026.01.09	18:00:00	1.34024	1.34142	1.33992	1.34054	2442	0	10
2026.01.09	19:00:00	1.34055	1.34111	1.34029	1.34062	1866	0	10
2026.01.09	20:00:00	1.34062	1.34096	1.34043	1.34060	1511	0	10
2026.01.09	21:00:00	1.34060	1.34086	1.33966	1.34021	1514	0	10
2026.01.11	22:00:00	1.33910	1.34001	1.33881	1.33887	609	0	47
2026.01.11	23:00:00	1.33947	1.33994	1.33918	1.33935	914	0	10
2026.01.12	00:00:00	1.33935	1.34350	1.33903	1.34341	3177	0	10
2026.01.12	01:00:00	1.34341	1.34405	1.34261	1.34270	3101	0	10
2026.01.12	02:00:00	1.34273	1.34335	1.34211	1.34228	2195	0	10
2026.01.12	03:00:00	1.34227	1.34280	1.34196	1.34196	1542	0	10
2026.01.12	04:00:00	1.34199	1.34237	1.34159	1.34220	1090	0	10
2026.01.12	05:00:00	1.34224	1.34358	1.34209	1.34330	1598	0	10
2026.01.12	06:00:00	1.34330	1.34408	1.34288	1.34381	1835	0	10
2026.01.12	07:00:00	1.34381	1.34465	1.34334	1.34436	3063	0	10
2026.01.12	08:00:00	1.34433	1.34610	1.34420	1.34567	3713	0	10
2026.01.12	09:00:00	1.34567	1.34689	1.34497	1.34532	3056	0	10
2026.01.12	10:00:00	1.34535	1.34707	1.34475	1.34707	2692	0	10
2026.01.12	11:00:00	1.34703	1.34745	1.34542	1.34594	2414	0	10
2026.01.12	12:00:00	1.34591	1.34733	1.34570	1.34649	3123	0	10
2026.01.12	13:00:00	1.34652	1.34853	1.34608	1.34812	3586	0	10
2026.01.12	14:00:00	1.34810	1.34828	1.34628	1.34727	4378	0	10
2026.01.12	15:00:00	1.34730	1.34800	1.34675	1.34749	3559	0	10
2026.01.12	16:00:00	1.34751	1.34770	1.34631	1.34639	2848	0	10
2026.01.12	17:00:00	1.34636	1.34715	1.34548	1.34636	2954	0	10
2026.01.12	18:00:00	1.34636	1.34636	1.34569	1.34590	1675	0	10
2026.01.12	19:00:00	1.34590	1.34664	1.34568	1.34655	1363	0	10
2026.01.12	20:00:00	1.34656	1.34686	1.34614	1.34632	1326	0	10
2026.01.12	21:00:00	1.34629	1.34700	1.34611	1.34644	1051	0	7
2026.01.12	22:00:00	1.34646	1.34657	1.34602	1.34602	687	0	18
2026.01.12	23:00:00	1.34625	1.34687	1.34620	1.34656	1046	0	10
2026.01.13	00:00:00	1.34656	1.34765	1.34620	1.34754	1383	0	10
2026.01.13	01:00:00	1.34755	1.34768	1.34662	1.34699	2039	0	10
2026.01.13	02:00:00	1.34695	1.34761	1.34692	1.34723	1695	0	10
2026.01.13	03:00:00	1.34723	1.34785	1.34689	1.34701	1463	0	10
2026.01.13	04:00:00	1.34700	1.34768	1.34695	1.34734	1404	0	10
2026.01.13	05:00:00	1.34734	1.34765	1.34701	1.34717	1502	0	10
2026.01.13	06:00:00	1.34716	1.34724	1.34622	1.34723	2148	0	10
2026.01.13	07:00:00	1.34724	1.34733	1.34618	1.34665	2122	0	10
2026.01.13	08:00:00	1.34662	1.34776	1.34626	1.34763	2803	0	10
2026.01.13	09:00:00	1.34761	1.34853	1.34731	1.34801	2487	0	10
2026.01.13	10:00:00	1.34801	1.34829	1.34690	1.34711	2215	0	10
