<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.04	11:00:00	1.13818	1.13869	1.13768	1.13788	2186	0	9
2025.06.04	12:00:00	1.13789	1.14108	1.13789	1.14090	5604	0	9
2025.06.04	13:00:00	1.14091	1.14133	1.13925	1.13995	3984	0	9
2025.06.04	14:00:00	1.13994	1.14342	1.13994	1.14321	5764	0	9
2025.06.04	15:00:00	1.14320	1.14334	1.14166	1.14231	3942	0	9
2025.06.04	16:00:00	1.14231	1.14340	1.14193	1.14326	2726	0	9
2025.06.04	17:00:00	1.14328	1.14331	1.14228	1.14246	1881	0	9
2025.06.04	18:00:00	1.14244	1.14278	1.14196	1.14201	1698	0	9
2025.06.04	19:00:00	1.14201	1.14216	1.14119	1.14120	1476	0	9
2025.06.04	20:00:00	1.14120	1.14223	1.14097	1.14178	1193	0	9
2025.06.04	21:00:00	1.14175	1.14180	1.14130	1.14170	783	0	12
2025.06.04	22:00:00	1.14170	1.14225	1.14167	1.14193	679	0	9
2025.06.04	23:00:00	1.14196	1.14283	1.14185	1.14206	1102	0	9
2025.06.05	00:00:00	1.14208	1.14291	1.14161	1.14286	2551	0	9
2025.06.05	01:00:00	1.14288	1.14345	1.14133	1.14162	2709	0	9
2025.06.05	02:00:00	1.14159	1.14191	1.14100	1.14172	1849	0	9
2025.06.05	03:00:00	1.14173	1.14224	1.14086	1.14103	2141	0	9
2025.06.05	04:00:00	1.14103	1.14141	1.14075	1.14097	1782	0	9
2025.06.05	05:00:00	1.14100	1.14132	1.14043	1.14060	1942	0	9
2025.06.05	06:00:00	1.14059	1.14171	1.14051	1.14087	2659	0	9
2025.06.05	07:00:00	1.14085	1.14248	1.14065	1.14116	3090	0	9
2025.06.05	08:00:00	1.14119	1.14190	1.14086	1.14128	2751	0	9
2025.06.05	09:00:00	1.14128	1.14213	1.14091	1.14181	2720	0	9
2025.06.05	10:00:00	1.14178	1.14323	1.14170	1.14239	2512	0	9
2025.06.05	11:00:00	1.14237	1.14281	1.14158	1.14255	2736	0	9
2025.06.05	12:00:00	1.14253	1.14482	1.14132	1.14290	8704	0	9
2025.06.05	13:00:00	1.14292	1.14947	1.14181	1.14801	12140	0	9
2025.06.05	14:00:00	1.14803	1.14819	1.14539	1.14579	8335	0	9
2025.06.05	15:00:00	1.14576	1.14584	1.14347	1.14390	5602	0	9
2025.06.05	16:00:00	1.14392	1.14478	1.14313	1.14478	3764	0	9
2025.06.05	17:00:00	1.14476	1.14480	1.14315	1.14428	2457	0	9
2025.06.05	18:00:00	1.14426	1.14438	1.14307	1.14415	2375	0	9
2025.06.05	19:00:00	1.14416	1.14476	1.14333	1.14376	3080	0	9
2025.06.05	20:00:00	1.14374	1.14447	1.14350	1.14431	1303	0	9
2025.06.05	21:00:00	1.14430	1.14455	1.14398	1.14429	698	0	20
2025.06.05	22:00:00	1.14435	1.14515	1.14432	1.14511	869	0	9
2025.06.05	23:00:00	1.14513	1.14535	1.14461	1.14531	1039	0	9
2025.06.06	00:00:00	1.14531	1.14568	1.14494	1.14497	1820	0	9
2025.06.06	01:00:00	1.14495	1.14520	1.14411	1.14423	1884	0	9
2025.06.06	02:00:00	1.14424	1.14432	1.14328	1.14375	1702	0	9
2025.06.06	03:00:00	1.14375	1.14435	1.14357	1.14399	1367	0	9
2025.06.06	04:00:00	1.14399	1.14422	1.14367	1.14394	1109	0	9
2025.06.06	05:00:00	1.14393	1.14400	1.14304	1.14357	1565	0	9
2025.06.06	06:00:00	1.14356	1.14419	1.14244	1.14353	2768	0	9
2025.06.06	07:00:00	1.14351	1.14364	1.14211	1.14264	3348	0	9
2025.06.06	08:00:00	1.14263	1.14289	1.14111	1.14145	2964	0	9
2025.06.06	09:00:00	1.14144	1.14208	1.14104	1.14189	2353	0	9
2025.06.06	10:00:00	1.14191	1.14241	1.14170	1.14223	2140	0	9
2025.06.06	11:00:00	1.14225	1.14285	1.14167	1.14177	2307	0	9
2025.06.06	12:00:00	1.14177	1.14303	1.13857	1.13962	8699	0	8
2025.06.06	13:00:00	1.13961	1.14020	1.13714	1.13899	7914	0	9
2025.06.06	14:00:00	1.13901	1.14160	1.13804	1.13890	7005	0	9
2025.06.06	15:00:00	1.13889	1.14018	1.13806	1.13965	4941	0	9
2025.06.06	16:00:00	1.13964	1.14012	1.13858	1.13869	3198	0	9
2025.06.06	17:00:00	1.13870	1.13976	1.13843	1.13925	2487	0	9
2025.06.06	18:00:00	1.13927	1.13991	1.13922	1.13967	2145	0	9
2025.06.06	19:00:00	1.13968	1.14016	1.13923	1.13959	1622	0	9
2025.06.06	20:00:00	1.13956	1.13974	1.13909	1.13942	908	0	9
2025.06.08	21:00:00	1.13947	1.13948	1.13901	1.13918	383	0	40
2025.06.08	22:00:00	1.13938	1.14066	1.13928	1.14062	943	0	9
2025.06.08	23:00:00	1.14063	1.14111	1.14032	1.14060	1079	0	9
2025.06.09	00:00:00	1.14060	1.14088	1.13925	1.13937	1712	0	9
2025.06.09	01:00:00	1.13939	1.14168	1.13937	1.14147	2011	0	9
2025.06.09	02:00:00	1.14145	1.14250	1.14138	1.14170	1931	0	9
2025.06.09	03:00:00	1.14170	1.14206	1.14115	1.14118	1290	0	9
2025.06.09	04:00:00	1.14118	1.14187	1.14108	1.14181	1105	0	9
2025.06.09	05:00:00	1.14182	1.14238	1.14117	1.14215	1484	0	9
2025.06.09	06:00:00	1.14216	1.14294	1.14174	1.14269	2331	0	9
2025.06.09	07:00:00	1.14268	1.14284	1.14190	1.14221	2512	0	9
2025.06.09	08:00:00	1.14222	1.14357	1.14184	1.14279	2666	0	9
2025.06.09	09:00:00	1.14279	1.14387	1.14255	1.14257	2335	0	9
2025.06.09	10:00:00	1.14260	1.14289	1.14157	1.14190	2030	0	9
2025.06.09	11:00:00	1.14190	1.14228	1.14054	1.14169	2958	0	9
2025.06.09	12:00:00	1.14170	1.14177	1.13944	1.13999	3189	0	9
2025.06.09	13:00:00	1.13997	1.14041	1.13862	1.14017	3818	0	9
2025.06.09	14:00:00	1.14013	1.14085	1.13932	1.14075	3501	0	9
2025.06.09	15:00:00	1.14078	1.14252	1.14071	1.14239	2530	0	9
2025.06.09	16:00:00	1.14237	1.14254	1.14147	1.14241	1733	0	9
2025.06.09	17:00:00	1.14243	1.14261	1.14193	1.14216	1489	0	9
2025.06.09	18:00:00	1.14215	1.14305	1.14188	1.14274	1593	0	9
2025.06.09	19:00:00	1.14272	1.14290	1.14221	1.14224	1255	0	9
